Metric,Base MuRIL,Fine-tuned MuRIL,Absolute Gain,Relative Gain (%)
ACCURACY@1,0.154955,0.670270,0.515315,332.558140
ACCURACY@3,0.272523,0.848649,0.576126,211.404959
ACCURACY@5,0.342342,0.899550,0.557207,162.763158
ACCURACY@10,0.441892,0.942793,0.500901,113.353721
PRECISION@1,0.154955,0.670270,0.515315,332.558140
PRECISION@3,0.090841,0.282883,0.192042,211.404959
PRECISION@5,0.068468,0.179910,0.111441,162.763158
PRECISION@10,0.044189,0.094279,0.050090,113.353721
RECALL@1,0.154955,0.670270,0.515315,332.558140
RECALL@3,0.272523,0.848649,0.576126,211.404959
RECALL@5,0.342342,0.899550,0.557207,162.763158
RECALL@10,0.441892,0.942793,0.500901,113.353721
MRR@10,0.235779,0.768366,0.532587,225.883766
NDCG@10,0.284398,0.811163,0.526766,185.221584
MAP@10,0.235779,0.768366,0.532587,225.883766
