Metric,Base MuRIL,Fine-tuned MuRIL,Absolute Gain,Relative Gain (%)
ACCURACY@1,0.214646,0.701010,0.486364,226.588235
ACCURACY@3,0.338889,0.880303,0.541414,159.761550
ACCURACY@5,0.393939,0.931818,0.537879,136.538462
ACCURACY@10,0.488384,0.966162,0.477778,97.828335
PRECISION@1,0.214646,0.701010,0.486364,226.588235
PRECISION@3,0.112963,0.293434,0.180471,159.761550
PRECISION@5,0.078788,0.186364,0.107576,136.538462
PRECISION@10,0.048838,0.096616,0.047778,97.828335
RECALL@1,0.214646,0.701010,0.486364,226.588235
RECALL@3,0.338889,0.880303,0.541414,159.761550
RECALL@5,0.393939,0.931818,0.537879,136.538462
RECALL@10,0.488384,0.966162,0.477778,97.828335
MRR@10,0.291872,0.799938,0.508066,174.071447
NDCG@10,0.338265,0.840955,0.502690,148.608080
MAP@100,0.306315,0.801285,0.494969,161.588173
